UTM-W,UTM-S,C
482117.4662,5781746.121,57.8
482032.0915,5781804.696,57.3
482777.7507,5781997.818,29.7
482638.5877,5782078.111,38.8
482508.1249,5782153.037,42.7
482381.6875,5782225.928,43.6
482568.2624,5782824.268,32
483066.8439,5782487.01,29.1
482756.7976,5782696.197,34.4
483387.2021,5783101.485,28.9
483245.8015,5783239.458,32.8
483173.7221,5783309.059,32.6
483904.0236,5783733.184,26.5
483689.2436,5783867.454,26.1
483656.0921,5783888.355,21.9
482448.885,5782316.282,41.5
482072.0039,5781738.337,59.3
482116.2181,5781826.486,55.3
482161.5646,5781916.984,51.9
482205.0546,5782004.045,49.6
482292.331,5782113.733,46.5
482381.6875,5782225.928,43.6
482474.4367,5782342.283,40.7
482558.9519,5782448.64,37.5
482654.7555,5782568.57,35.2
482756.7976,5782696.197,34.4
482853.7102,5782817.213,34.4
482949.4676,5782937.171,33.4
483038.1513,5783048.159,33
483126.9956,5783160.63,33.2
483180.3015,5783227.4,33.2
483225.2516,5783284.233,32.5
483287.6454,5783362.573,32.8
483374.6713,5783471.967,31.7
483485.0348,5783610.812,28.5
483596.9487,5783751.401,27
483689.2436,5783867.454,26.1
483748.6277,5783942.12,26.8
483807.4067,5784015.931,26.5
483858.2054,5784080.059,25.6
